,full_name,line,movie,year,words,neg,neu,pos,compound
0,TONY STARK,"Oh, I get it.  You guys aren’t allowed to talk.  Is that it?  Are you not allowed to talk?",Iron Man,2008,22,0.0,1.0,0.0,0.0
1,IRON MAN JIMMY,No.  We’re allowed to talk.,Iron Man,2008,6,0.355,0.645,0.0,-0.296
2,TONY STARK,Oh.  I see.  So it’s personal.,Iron Man,2008,8,0.0,1.0,0.0,0.0
3,RAMIREZ,I think they’re intimidated.,Iron Man,2008,4,0.592,0.408,0.0,-0.4404
4,TONY STARK,"Good God, you’re a woman. I, honestly, I couldn’t have called that. I would apologize, but isn’t that what we’re going for here? I saw you as a soldier first. ",Iron Man,2008,31,0.0,0.758,0.242,0.5719
5,IRON MAN JIMMY,"I have a question, sir. ",Iron Man,2008,6,0.0,1.0,0.0,0.0
6,TONY STARK,Please.,Iron Man,2008,1,0.0,0.0,1.0,0.3182
7,IRON MAN JIMMY,Is it true you’re twelve for twelve with last years Maxim cover girls?,Iron Man,2008,13,0.0,0.811,0.189,0.4215
8,TONY STARK,"Excellent question. Yes and no. March and I had a schedule conflict but, thankfully, the Christmas cover was twins.  Anyone else? You, with the hand up. ",Iron Man,2008,28,0.097,0.538,0.365,0.8735
9,PRATT,It’s a little embarrassing.,Iron Man,2008,4,0.536,0.464,0.0,-0.3197
10,TONY STARK,Join the club.,Iron Man,2008,3,0.0,0.476,0.524,0.296
11,PRATT,Can I take a picture with you?,Iron Man,2008,7,0.0,1.0,0.0,0.0
12,TONY STARK,"Are you aware that Native Americans believe photographs steal a little piece of your soul?  Not to worry, mine’s long gone. Fire away.",Iron Man,2008,24,0.207,0.704,0.089,-0.4929
13,PRATT,STAY HERE!,Iron Man,2008,2,0.0,1.0,0.0,0.0
14,JAMES RHODES,"GET DOWN, TONY.  GET THE --",Iron Man,2008,7,0.0,1.0,0.0,0.0
15,NARRATOR,"December 7, 1941: the day the world changed forever. President Roosevelt declares the United States will build fifty thousand planes to fight the armies of Hirohito and Hitler-- Although no such capacity to build existed... Howard Stark, founder of the fledgling Stark Industries, answers his call to duty -- And builds not fifty, but a hundred thousand planes. Later, Stark’s work on the Manhattan project makes the end of the war possible. Stark Industries would go on to contribute to every major weapons system through the Cold War -- But Howard Stark’s greatest achievement would come in 1973-- From early on, it was clear that Tony Stark had a unique gift-- At seventeen he graduated summa cum laude from MIT.  Four years later, tragedy would pass the Stark mantle from father to son-- The loss of a titan.  But Tony did not let personal grief distract him from his duty -- At twenty-one, he became the youngest-ever CEO of a Fortune 500 company.  And with it came a new mandate -- Smarter weapons, fewer casualties. A dedication to preserving life. Today Tony Stark’s ingenuity continues to protect freedom and American interest around the globe.",Iron Man,2008,197,0.142,0.723,0.134,-0.2283
16,JAMES RHODES,"As Program Manager and Liaison to Stark Industries, I’ve had the honor of serving with a real patriot, a man whose life has been dedicated to protecting our troops on the front lines.  He’s a friend. And a great mentor.  A man who has always been there for his friends and his country.  Ladies and gentlemen, this year’s ARES Award winner -- Mr. Tony Stark.",Iron Man,2008,68,0.0,0.689,0.311,0.9747
17,OBADIAH STANE,"Thank you...I, uhhh, I’m not Tony Stark, but if I were Tony, I’d tell you how honored I am and...what a joy it is to receive this award. The best thing about Tony is also the worst thing -- he’s always working.",Iron Man,2008,42,0.091,0.53,0.379,0.9637
18,TONY STARK,"...you think we’re having a ‘moment’ here, but this is actually the logical conclusion of several mathematical truisms. Your hypothalamus is flooding your system with a chain of proteins called peptides, so that every cell in your body is opening itself up to the happy chemical: oxytocin. ",Iron Man,2008,48,0.0,0.897,0.103,0.7227
19,WOMAN,That’s...wow....,Iron Man,2008,1,0.0,1.0,0.0,0.0
