,full_name,Ant-Man,Avengers_Age_of_Ultron,Avengers_Endgame,Avengers_Infinity_War,Black_Panther,Captain_America_Civil_War,Captain_America_The_First_Avenger,Captain_America_The_Winter_Soldier,Captain_Marvel,Guardians_of_the_Galaxy_Vol._2,Iron_Man,Iron_Man_2,Iron_Man_3,Spider-Man_Homecoming,The_Avengers,Thor,Thor_Ragnarok,Thor_The_Dark_World,total_lines,total_words,movie_appearances,avg_words_per_line,avg_lines_per_movie
0,TONY STARK,0,173,137,119,0,165,0,0,0,0,252,335,358,74,152,0,0,0,1788,22590,9,12,198
1,STEVE ROGERS,3,133,119,25,0,154,186,218,3,0,0,0,0,7,121,0,0,0,977,8653,10,8,97
2,THOR,0,55,70,74,0,0,0,0,0,0,0,0,0,0,47,166,289,133,863,9487,7,10,123
3,PETER PARKER,0,0,7,39,0,73,0,0,0,0,0,0,0,402,0,0,0,0,551,5517,4,10,137
4,NATASHA ROMANOFF,1,79,69,15,0,64,0,112,3,0,0,55,0,0,97,0,1,0,498,4689,10,9,49
5,PEPPER POTTS,0,0,15,21,0,0,0,0,0,0,114,157,88,7,29,0,0,0,442,3492,7,7,63
6,BRUCE BANNER,0,83,93,45,0,0,0,0,2,0,0,0,7,0,84,0,62,0,379,3840,7,10,54
7,NICK FURY,0,26,0,7,0,0,5,68,120,0,0,28,0,0,109,0,0,0,366,4524,7,12,52
8,LOKI,0,0,1,6,0,0,0,0,0,0,0,0,0,0,68,91,74,76,327,4097,6,12,54
9,SCOTT LANG,222,0,70,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,324,3236,3,9,108
10,JAMES RHODES,0,20,38,17,0,25,0,0,2,0,67,80,63,0,0,0,0,0,318,3486,8,10,39
11,CLINT BARTON,0,69,44,0,0,27,0,0,0,0,0,0,0,0,43,1,0,0,185,1911,5,10,37
12,SAM WILSON,14,4,16,9,0,63,0,67,0,0,0,0,0,0,0,0,0,0,174,1522,6,8,29
13,GAMORA,0,0,22,44,0,0,0,0,0,105,0,0,0,0,0,0,0,0,173,1552,3,8,57
14,T'CHALLA,0,0,1,17,125,28,0,0,0,0,0,0,0,0,0,0,0,0,172,1896,4,11,43
15,HAPPY HOGAN,0,0,4,0,0,0,0,0,0,0,2,40,53,59,0,0,0,0,162,1248,5,7,32
16,ODIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,25,62,136,2200,3,16,45
17,JARVIS,0,24,0,0,0,0,0,0,0,0,34,20,44,0,13,0,0,0,135,1405,5,10,27
18,PHIL COULSON,0,0,0,0,0,0,0,0,13,0,18,12,0,0,42,26,0,0,111,1311,5,11,22
19,BUCKY BARNES,0,0,2,8,0,42,42,13,0,0,0,0,0,0,0,0,0,0,110,826,5,7,22
20,THANOS,0,1,36,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,1343,3,12,36
21,PEGGY CARTER,3,3,4,0,0,0,76,7,0,0,0,0,0,0,1,0,0,0,94,930,6,9,15
22,SHURI,0,0,0,6,87,0,0,0,0,0,0,0,0,0,0,0,0,0,93,896,2,9,46
23,VALKYRIE,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,90,803,2,8,45
24,JUSTIN HAMMER,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,82,2281,1,27,82
25,ULTRON,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,1205,1,14,81
26,NEBULA,0,0,31,8,0,0,0,0,0,36,0,0,0,0,0,0,0,0,77,903,3,11,25
27,STEPHEN STRANGE,0,0,2,57,0,0,0,0,0,0,0,0,0,0,0,0,18,0,77,677,3,8,25
28,VISION,0,19,0,26,0,31,0,0,0,0,0,0,0,0,0,0,0,0,76,971,3,12,25
29,YONDU,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,69,788,1,11,69
30,OKOYE,0,0,3,11,53,0,0,0,0,0,0,0,0,0,0,0,0,0,67,542,3,8,22
31,MANTIS,0,0,1,17,0,0,0,0,0,46,0,0,0,0,0,0,0,0,64,553,3,8,21
32,ALEXANDER PIERCE,0,0,5,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,60,1198,2,19,30
33,EGO,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,57,1545,1,27,57
34,HEIMDALL,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,17,13,17,53,814,5,15,10
35,ULYSSES KLAUE,0,7,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,40,756,2,18,20
36,HELA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,32,673,1,21,32
37,GROOT,0,0,2,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,24,78,3,3,8
38,M'BAKU,0,0,0,3,20,0,0,0,0,0,0,0,0,0,0,0,0,0,23,281,2,12,11
39,WONG,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,103,2,9,5
