,full_name,avg_lines_per_movie
0,TONY STARK,198
1,TONY STARK,198
2,PETER PARKER,137
3,PETER PARKER,137
4,THOR,123
5,THOR,123
6,SCOTT LANG,108
7,SCOTT LANG,108
8,STEVE ROGERS,97
9,STEVE ROGERS,97
10,JUSTIN HAMMER,82
11,JUSTIN HAMMER,82
12,ULTRON,81
13,ULTRON,81
14,YONDU,69
15,YONDU,69
16,PEPPER POTTS,63
17,PEPPER POTTS,63
18,EGO,57
19,GAMORA,57
20,GAMORA,57
21,EGO,57
22,LOKI,54
23,BRUCE BANNER,54
24,BRUCE BANNER,54
25,LOKI,54
26,NICK FURY,52
27,NICK FURY,52
28,NATASHA ROMANOFF,49
29,NATASHA ROMANOFF,49
30,SHURI,46
31,SHURI,46
32,VALKYRIE,45
33,VALKYRIE,45
34,ODIN,45
35,ODIN,45
36,T'CHALLA,43
37,T'CHALLA,43
38,JAMES RHODES,39
39,JAMES RHODES,39
40,CLINT BARTON,37
41,CLINT BARTON,37
42,THANOS,36
43,THANOS,36
44,HELA,32
45,HELA,32
46,HAPPY HOGAN,32
47,HAPPY HOGAN,32
48,ALEXANDER PIERCE,30
49,ALEXANDER PIERCE,30
50,SAM WILSON,29
51,SAM WILSON,29
52,JARVIS,27
53,JARVIS,27
54,STEPHEN STRANGE,25
55,VISION,25
56,NEBULA,25
57,STEPHEN STRANGE,25
58,VISION,25
59,NEBULA,25
60,PHIL COULSON,22
61,BUCKY BARNES,22
62,PHIL COULSON,22
63,BUCKY BARNES,22
64,OKOYE,22
65,OKOYE,22
66,MANTIS,21
67,MANTIS,21
68,ULYSSES KLAUE,20
69,ULYSSES KLAUE,20
70,PEGGY CARTER,15
71,PEGGY CARTER,15
72,M'BAKU,11
73,M'BAKU,11
74,HEIMDALL,10
75,HEIMDALL,10
76,GROOT,8
77,GROOT,8
78,WONG,5
79,WONG,5
