,full_name,avg_words_per_line
0,EGO,27
1,JUSTIN HAMMER,27
2,EGO,27
3,JUSTIN HAMMER,27
4,HELA,21
5,HELA,21
6,ALEXANDER PIERCE,19
7,ALEXANDER PIERCE,19
8,ULYSSES KLAUE,18
9,ULYSSES KLAUE,18
10,ODIN,16
11,ODIN,16
12,HEIMDALL,15
13,HEIMDALL,15
14,ULTRON,14
15,ULTRON,14
16,TONY STARK,12
17,LOKI,12
18,M'BAKU,12
19,THANOS,12
20,TONY STARK,12
21,VISION,12
22,THANOS,12
23,VISION,12
24,NICK FURY,12
25,NICK FURY,12
26,M'BAKU,12
27,LOKI,12
28,PHIL COULSON,11
29,YONDU,11
30,T'CHALLA,11
31,NEBULA,11
32,NEBULA,11
33,YONDU,11
34,PHIL COULSON,11
35,T'CHALLA,11
36,JARVIS,10
37,JAMES RHODES,10
38,THOR,10
39,THOR,10
40,PETER PARKER,10
41,PETER PARKER,10
42,BRUCE BANNER,10
43,CLINT BARTON,10
44,JAMES RHODES,10
45,CLINT BARTON,10
46,BRUCE BANNER,10
47,JARVIS,10
48,WONG,9
49,WONG,9
50,PEGGY CARTER,9
51,NATASHA ROMANOFF,9
52,SCOTT LANG,9
53,SCOTT LANG,9
54,NATASHA ROMANOFF,9
55,SHURI,9
56,SHURI,9
57,PEGGY CARTER,9
58,OKOYE,8
59,STEPHEN STRANGE,8
60,MANTIS,8
61,VALKYRIE,8
62,SAM WILSON,8
63,GAMORA,8
64,STEPHEN STRANGE,8
65,VALKYRIE,8
66,GAMORA,8
67,OKOYE,8
68,MANTIS,8
69,SAM WILSON,8
70,STEVE ROGERS,8
71,STEVE ROGERS,8
72,BUCKY BARNES,7
73,HAPPY HOGAN,7
74,PEPPER POTTS,7
75,PEPPER POTTS,7
76,HAPPY HOGAN,7
77,BUCKY BARNES,7
78,GROOT,3
79,GROOT,3
