,full_name,line,movie,compound
0,TONY STARK,"Everybody wants a happy ending. But it doesn’t always roll that way.  Maybe this time. I’m hoping if you play this back, it’s in celebration.  I hope families are reunited, I hope we get it back and something like a normal version of the planet has been restored.  If there ever was such a thing. God, what a world.  Universe, now. If you’d told me ten years ago that we weren’t alone, let alone to this extent, I probably wouldn’t have been surprised.  But come on... Who knew what epic forces of dark and light would come into play? For better or worse, that’s the reality our children get to grow up in. That’s why I thought I’d probably better record a little greeting, in the case of…an untimely death on my part.  I mean, death at any time is untimely, but...this “time travel” thing we’re going to try to pull off tomorrow has me scratching my head about the “survivability” of it all.  But that’s the hero gig, right?  Part of the journey is the end. What am I even tripping for? Everything is going to work out exactly the way it’s supposed to. I love you 3000.",Avengers: Endgame,0.9865
1,THOR,"Stop.  Stop.  I know you think I’m down here, wallowing in my own self- pity, waiting to be rescued.  But I’m fine.  I’m happy.  Whatever it is you’re offering, don’t care. Couldn’t care less. ",Avengers: Endgame,0.9428
2,TONY STARK,Good job.  I’m saved.  I wish you were coming here to ask me something else.  I’m honestly happy to see you.  If you want to stay- ,Avengers: Endgame,0.9371
3,BRUCE BANNER,"For years I treated the Hulk like a disease, something to get rid of. But when I started treating him like the cure... Eighteen months in the Gamma Lab. I put the brains and the brawn together.  And now look at me. Best of both worlds.",Avengers: Endgame,0.8957
4,TONY STARK,"Wow, that’s a lot. Out like a light.  Don’t know how much she loves you but she loves me three thousand.",Avengers: Endgame,0.8898
5,BRUCE BANNER,"I did-  I feel like I’m the only one eating.  Here, try some. Thing is, I kept thinking, it didn’t have to be that way.  That the best of Banner and best of Hulk, if they’d worked together, maybe they could’ve stopped Thanos. ",Avengers: Endgame,0.875
6,NEBULA,"Planet is unnamed, but inhabitable. Rich atmosphere, good soil- ",Avengers: Endgame,0.8674
7,BRUCE BANNER,"I have seven PhD’s, an MD, the Hans Bethe Award for Physics, and I’m personal friends with Bill Nye the Science Guy.  We’re good. ",Avengers: Endgame,0.8591
8,TONY STARK,Correct.  Great minds think alike. What kind do you want? You done? Now you are.,Avengers: Endgame,0.8466
9,STEVE ROGERS,"That’s great.  You’ve already done the hardest part.  You took a jump, didn’t know where you’d come down. And that’s it, those little brave baby steps we’ve gotta take.  To try to make us feel whole again, to find a purpose... I went into the ice right after I met the love of my life.  Woke up seventy years later and...had to keep going. The world’s been left in our hands. If we don’t do something with it...then Thanos might as well have killed all of us. ",Avengers: Endgame,0.8405
