,full_name,total_words
0,TONY STARK,45180.0
1,THOR,18974.0
2,STEVE ROGERS,17306.0
3,PETER PARKER,11034.0
4,NATASHA ROMANOFF,9378.0
5,NICK FURY,9048.0
6,LOKI,8194.0
7,BRUCE BANNER,7680.0
8,PEPPER POTTS,6984.0
9,JAMES RHODES,6972.0
10,SCOTT LANG,6472.0
11,PETER QUILL,5832.0
12,ROCKET,4840.0
13,JUSTIN HAMMER,4562.0
14,ODIN,4400.0
15,JANE FOSTER,4228.0
16,HANK PYM,4162.0
17,CAROL DANVERS,3908.0
18,CLINT BARTON,3822.0
19,T'CHALLA,3792.0
20,GAMORA,3104.0
21,EGO,3090.0
22,SAM WILSON,3044.0
23,JARVIS,2810.0
24,ERIK SELVIG,2778.0
25,THANOS,2686.0
26,PHIL COULSON,2622.0
27,ALDRICH KILLIAN,2604.0
28,OBADIAH STANE,2568.0
29,HAPPY HOGAN,2496.0
30,LUIS,2426.0
31,ULTRON,2410.0
32,ALEXANDER PIERCE,2396.0
33,NED LEEDS,2342.0
34,ADRIAN TOOMES,2296.0
35,HOWARD STARK,2242.0
36,DARREN CROSS,2240.0
37,HOPE VAN DYNE,2082.0
38,RED SKULL,1952.0
39,VISION,1942.0
40,COL. CHESTER PHILLIPS,1918.0
41,YINSEN,1906.0
42,PEGGY CARTER,1860.0
43,DRAX,1842.0
44,NEBULA,1806.0
45,N'JADAKA (KILLMONGER),1794.0
46,SHURI,1792.0
47,TALOS,1788.0
48,YON-ROGG,1784.0
49,BUCKY BARNES,1652.0
50,GRANDMASTER,1642.0
51,HEIMDALL,1628.0
52,EVERETT ROSS,1618.0
53,VALKYRIE,1606.0
54,DARCY LEWIS,1590.0
55,YONDU,1576.0
56,ULYSSES KLAUE,1512.0
57,FRIGGA,1444.0
58,FANDRAL,1354.0
59,STEPHEN STRANGE,1354.0
60,HELA,1346.0
61,VOLSTAGG,1326.0
62,DR. ABRAHAM ERSKINE,1326.0
63,WANDA MAXIMOFF,1320.0
64,MARIA HILL,1318.0
65,HELMUT ZEMO,1242.0
66,KORG,1236.0
67,NAKIA,1204.0
68,MARIA RAMBEAU,1186.0
69,DR. ARNIM ZOLA,1140.0
70,MANTIS,1106.0
71,LIZ TOOMES,1092.0
72,SHARON CARTER,1084.0
73,OKOYE,1084.0
74,KAREN,1046.0
75,SENATOR STERN,998.0
76,MAYA HANSEN,968.0
77,SIF,936.0
78,SECRETARY ROSS,916.0
79,BROCK RUMLOW,908.0
80,THE MANDARIN,854.0
81,HARLEY KEENER,846.0
82,MAY PARKER,792.0
83,"JAMES ""JIM"" PAXTON",702.0
84,FRIDAY,692.0
85,MALEKITH,658.0
86,CHRISTINE EVERHART,636.0
87,EBONY MAW,632.0
88,JASPER SITWELL,606.0
89,T'CHAKA,582.0
90,M'BAKU,562.0
91,PHINEAS MASON,548.0
92,TREVOR SLATTERY,546.0
93,AYESHA,544.0
94,IVAN VANKO,538.0
95,LAUFEY,532.0
96,MONICA RAMBEAU,528.0
97,ANCIENT ONE,528.0
98,N'JOBU,526.0
99,ZURI,526.0
100,W'KABI,512.0
101,BARON WOLFGANG VON STRUCKER,508.0
102,SKURGE,500.0
103,TASERFACE,472.0
104,TV REPORTER’S VOICE,470.0
105,DR. HELEN CHO,466.0
106,PIETRO MAXIMOFF,460.0
107,RAZA,454.0
108,SUPREME INTELLIGENCE,448.0
109,FLASH THOMPSON,440.0
110,SECURITY GUARD,430.0
111,RICHARD,430.0
112,AARON DAVIS,414.0
113,KRAGLIN,410.0
114,NARRATOR,394.0
115,WENDY LAWSON,392.0
116,LAURA BARTON,386.0
117,THE OTHER,384.0
118,REPORTER,372.0
119,DAVE,370.0
120,USO SINGER,362.0
121,HERMAN SCHULTZ,354.0
122,STAKAR,344.0
123,SENATOR BRANDT,342.0
124,FATHER,332.0
125,RAMONDA,332.0
126,EITRI,332.0
127,ERIC SAVIN,326.0
128,MR. HARRINGTON,318.0
129,GARY,312.0
130,GENERAL GABRIEL,300.0
131,SOOTHING VOICE,300.0
132,SURTUR,292.0
133,DODGERS ANNOUNCER,290.0
134,HULK,282.0
135,DALE,282.0
136,KURT,280.0
137,MAGGIE LANG,278.0
138,"MICHELLE ""MJ"" JONES",278.0
139,MAJOR ALLEN,274.0
140,COUNCILMAN,270.0
141,IAN BOOTHBY,260.0
142,JACKSON BRICE,260.0
143,YOUNG T'CHAKA,258.0
144,STAN LEE,246.0
145,SERGEANT DUFFY,244.0
146,MRS. SPENCER,244.0
147,COUNCILMAN ROCKWELL,234.0
148,CASSIE LANG,234.0
149,NEWS REPORTER,232.0
150,NEWS ANCHOR,232.0
151,VIDEO VOICE OVER,230.0
152,BAD NEBULA,226.0
153,SHIELD AGENT,222.0
154,DIRECTOR,222.0
155,INTERCOM VOICE,214.0
156,THE SMITHSONIAN NARRATOR,212.0
157,WONG,206.0
158,HOGUN,202.0
159,MAN,198.0
160,FRENCH PIRATE #1,198.0
161,PRESIDENT ELLIS,186.0
162,MITCHELL CARSON,182.0
163,FURY'S CAR,180.0
164,ABU,178.0
165,TECHIE,178.0
166,BBC ANCHOR,178.0
167,RONAN,176.0
168,MARIA STARK,172.0
169,JAPSER SITWELL,170.0
170,THE COLLECTOR,166.0
171,GRIEVING MAN,162.0
